문맥	철수는 개와 개구리를 키우고 있습니다. 철수는 개구리를 넣은 큰 항아리를 침실에 두고 있었습니다. 어느 밤, 철수와 개가 자고 있을 때, 개구리는 항아리에서 나와 열린 창문으로 뛰어나갔습니다.
답변	큰 항아리
생성된 질문	철수가 개구리와 함께 침실에서 나온 것은 무엇인가?

문맥	철수는 개와 개구리를 키우고 있습니다. 철수는 개구리를 넣은 큰 항아리를 침실에 두고 있었습니다. 어느 밤, 철수와 개가 자고 있을 때, 개구리는 항아리에서 나와 열린 창문으로 뛰어나갔습니다.
답변	큰 항아리
생성된 질문	철수가 개구리와 함께 침실 안에 두고 간 것은?

문맥	철수는 개와 개구리를 키우고 있습니다. 철수는 개구리를 넣은 큰 항아리를 침실에 두고 있었습니다. 어느 밤, 철수와 개가 자고 있을 때, 개구리는 항아리에서 나와 열린 창문으로 뛰어나갔습니다.
답변	큰 항아리
생성된 질문	개구리는 침실 어디에 두고 있었는가?

문맥	철수는 개와 개구리를 키우고 있습니다. 철수는 개구리를 넣은 큰 항아리를 침실에 두고 있었습니다. 어느 밤, 철수와 개가 자고 있을 때, 개구리는 항아리에서 나와 열린 창문으로 뛰어나갔습니다.
답변	창문
생성된 질문	개구리가 침실 문을 잠근 이유는 무엇인가?

문맥	철수는 개와 개구리를 키우고 있습니다. 철수는 개구리를 넣은 큰 항아리를 침실에 두고 있었습니다. 어느 밤, 철수와 개가 자고 있을 때, 개구리는 항아리에서 나와 열린 창문으로 뛰어나갔습니다.
답변	창문
생성된 질문	개구리가 침실문을 통해 뛰어나간 곳은?

문맥	철수는 개와 개구리를 키우고 있습니다. 철수는 개구리를 넣은 큰 항아리를 침실에 두고 있었습니다. 어느 밤, 철수와 개가 자고 있을 때, 개구리는 항아리에서 나와 열린 창문으로 뛰어나갔습니다.
답변	창문
생성된 질문	개구리가 침실 문을 잠근 이유는 무엇인가?

문맥	친구들, 안녕? 내 꿈은 무슨 색일까 이야기를 들려주겠어요. 위험에 빠진 사람들을 구해주는 소방관이 되는 꿈은 용귤 빨간색 포도알이 탱글탱글 잘 익었다 이제 따도 되겠어 톡톡 터지는 포도알이 입안 가득 우와 새콤달콤해 한여름에는 땀을 뻘뻘 흘리고 한겨울에는 손발이 꽁꽁 얼도록 곡식과 채소를 장사껏 돌보는 농부가 되는 꿈은 희망의 초록색 사람들이 먼 거리를 편안하게 여행하려면 무엇이 필요할까? 발명! 하늘을 따는 자동차 편리한 세상을 만들기 위해 책을 보고 또 보고 컴퓨터로 일하고 또 일하는 컴퓨터 정보를 찾아보고 또 찾아보는 척척 박사가 되는 꿈은 노력을 노란색 그런데 말이야, 난 꿈이 아주 아주 많은데 내 꿈은 무슨 색일까? 난 소방관이 되고 싶기도 하고 농부가 되고 싶기도 하고, 척척 박사가 되고 싶기도 해. 믿음의 하얀색인 의사가 되어서 아픈 사람들을 낳게 해주고 싶기도 하고, 사랑의 분홍색인 선생님이 되어서 귀여운 아이들에게 이것저것 알려주고 싶기도 해. 나는 오랫동안 생각하고 또 생각했어. 그러다가 내 꿈의 색들을 섞어보기로 했어. 그러면 내 꿈이 무슨 색인지 알 수 있을 테니까. 그런데 나는 그만 울고 말았어. 내 꿈은 가장 멋진 색일 줄 알았는데, 색깔을 모두 섞으니 처음 보는 이상한 색인 거야. 나는 할머니께 달려갔어. 할머니, 할머니! 제 꿈 색깔이 이상해요. 우리 아름이 꿈 색깔이 왜 이상하니? 아니에요. 제가 다 섞어봤어요. 잠깐만 기다려보렴. 할머니께서는 신비로워 보이는 화물 한 개 가지고 오셨어. 그 속에는 아름다운 색동물이 들어있었지. 예, 오, 세. 오색색동 옷이라고 한단다. 이 옷을 입으면 좋은 힘이 생겨서 옷을 입은 사람에게 행복을 가져다 준대. 우와! 할머니, 이 옷 정말 멋져요! 이제 이 옷은 아름이에게 어울리겠구나. 왜요? 이 옷도 우리 아름이 꿈처럼... 빨간색, 초록색, 노란색, 흰색, 분홍색이니까... 할머니께서는 이 5색 색동호처럼 내가 가진 꿈들도 함께 있을 때 아름답다고 하셨어. 그리고 내가 어른이 되어서 키도 크고 생각 주머니도 더 커지면 내 마음속에서 어떤 색깔이 더욱 반짝일 거래. 그 색이 바로 내가 찾던 꿈의 색깔이래 이야기 재미있었나요? 그럼 다음에 또 만나요 안녕
답변	꿈
생성된 질문	친구들과 안녕? 나의 꿈은 무엇일까요?

